Date,Open,High,Low,Close,Tesla Trading Volume,Adj Close
19 December 2016,202.490005,204.449997,199.839996,202.729996,3488100,202.729996
20 December 2016,203.050003,209,202.5,208.789993,4689100,208.789993
21 December 2016,208.449997,212.229996,207.410004,207.699997,5207600,207.699997
22 December 2016,208.220001,209.990005,206.5,208.449997,3111100,208.449997
23 December 2016,208,213.449997,207.710007,213.339996,4670500,213.339996
27 December 2016,214.880005,222.25,214.419998,219.529999,5915700,219.529999
28 December 2016,221.529999,223.800003,217.199997,219.740005,3782500,219.740005
29 December 2016,218.559998,219.199997,214.119995,214.679993,4045000,214.679993
30 December 2016,216.300003,217.5,211.679993,213.690002,4642600,213.690002
3 January 2017,214.860001,220.330002,210.960007,216.990005,5923300,216.990005
4 January 2017,214.75,228,214.309998,226.990005,11213500,226.990005
5 January 2017,226.419998,227.479996,221.949997,226.75,5911700,226.75
6 January 2017,226.929993,230.309998,225.449997,229.009995,5527900,229.009995
9 January 2017,228.970001,231.919998,228,231.279999,3957000,231.279999
10 January 2017,232,232,226.889999,229.869995,3648900,229.869995
11 January 2017,229.070007,229.979996,226.679993,229.729996,3649100,229.729996
12 January 2017,229.059998,230.699997,225.580002,229.589996,3786700,229.589996
13 January 2017,230,237.850006,229.589996,237.75,6071400,237.75
